无锡市安民康复医院	无锡安民康复医院
上海交通大学医学院附属仁济医院(西院)	上海交通大学医学院附属仁济医院(西院)
上海交通大学医学院附属第九人民医院	上海交通大学医学院附属第九人民医院
上海市黄浦区豫园地段医院上海市黄浦区豫园老年护理医院	
上海市黄浦区小东门地段医院	
上海市黄浦区半淞园地段医院	
上海市黄浦区董家渡地段医院	
上海市黄浦区金陵东路地段医院	
上海市黄浦区外滩地段医院	
上海市黄浦区广场地段医院	
上海市黄浦区南京东路地段医院	
万年县精神病医院	
万年县中医院	
万年县人民医院	万年县人民医院
万年县妇幼保健院	
江西水泥有限责任公司职工医院	
上饶县骨科医院	
上饶县第二人民医院〓上饶县中医院	
上饶县人民医院	上饶县人民医院
上饶县第三人民医院	
上饶县妇幼保健院〓上饶县妇女儿童医院	
上饶七一三社区医院	
上饶县妇幼保健院	
余干县中医院	
余干县妇幼保健院	
余干县人民医院	
上饶协和医院(民营)	
上饶利华医院(民营)	
上饶市皮肤病性病防治所	
上饶骨伤科医院(民营)	
上饶市第三人民医院〓上饶市精神病院	
上饶市结核病防治所	
上饶九龙医院(原:上饶仁爱生殖医院)(民营)	
上饶王剑中医骨伤科医院(民营)	
上饶市骨伤医院	
上饶市红十字烧伤整形骨科医院〓上饶市九九医院(民营)	
上饶市中医院	
江西凤凰医院(原:江西光学仪器总厂职工医院)	
上饶市信州区第二人民医院〓上饶市红十字会医院	
南昌大学上饶医院〓上饶市眼科医院(原:上饶铁路医院)	
上饶市立医院	上饶市立医院
上饶市妇幼保健院	
上饶东方医院(民营)	
上饶平安医院(民营)	
上饶曙光医院(民营)	
上饶市第五人民医院〓上饶市肿瘤医院(民营)	
上饶市人民医院	上饶市人民医院
上饶市第二人民医院〓上饶市卫校附属医院	
婺源县人民医院	
婺源县中医院	婺源县中医院
婺源县妇幼保健院	
上饶市广丰区精神病院(民营)	
上饶市广丰区吴小华骨伤科医院(民营)	
上饶市广丰区人民医院	
上饶市广丰区中医院	广丰县中医院
上饶市广丰区妇幼保健院	广丰县妇幼保健院
弋阳县中医院	
弋阳县人民医院	
弋阳县妇幼保健院	
上饶市红十字医院〓弋阳县人和医院(民营)	
弋阳县人民医院北院	
弋阳县精神病院	
德兴市大茅山企业集团职工医院	
德兴市血防站〓德兴市皮肤性病防治所	
德兴市妇幼保健院	
德兴市人民医院	
江西铜业集团(德兴)医院	
德兴市中医院	
江铜集团银山医院	
横峰县精神病院	
横峰县妇幼保健院	
横峰县中医院	
横峰县人民医院	横峰县人民医院
玉山友华医院(民营)	
玉山县同心医院(民营)	
玉山玉清医院(民营)	
玉山圣康医院(民营)	
玉山安然中西医结合医院(民营)	
玉山群力医院(民营)	
玉山光明医院(民营)	
玉山大兴医院(民营)	
玉山县精神病医院(民营)	
玉山博爱医院(民营)	
玉山县人民医院	玉山县人民医院
江西省中医学院第七附属医院〓玉山县中医院	江西省中医学院第七附属医院玉山县中医院
玉山县妇幼保健院	
玉山博爱医院	
玉山县中医院	江西省中医学院第七附属医院玉山县中医院
鄱阳县洪门口私立正骨医院(民营)	
上饶市乐丰农场职工医院	
江西鄱阳湖医院(民营)	
鄱阳县私立联港医院(民营)	
鄱阳县卫生学校附属医院	
鄱阳县中医院	
鄱阳县人民医院	鄱阳县人民医院
江西珠湖农场职工医院	
鄱阳县妇幼保健院	
铅山县人民医院	铅山县人民医院
铅山县中医院	
铅山县妇幼保健院	
铅山精神病医院	
江西铜业集团（铅山）医院	
东方市中西医结合医院	
海南省铁路总公司铁路医院	
东方市人民医院	
东方市中医院	东方市中医院
东方康宁精神病医院	
东方康平医院	
东方琼西医院	
东方市东方医院	
东方市妇幼保健院	
东方现代医院	
国营公爱农场医院	
国营广坝农场医院	
国营红泉农场医院	
海南省农垦公爱医院	
海南省农垦广坝医院	
海南省农垦红泉医院	
东莞常安医院(民营)	
东莞市第九人民医院(原:东莞市人民医院红楼院区)	
东莞康宁妇科医院(民营)	
东莞市第一人民医院普济院区	
东莞市第六人民医院(原:东莞市慢性病防治院)	
东莞东方泌尿专科医院(民营)	
南方医科大学广济医院(原:东莞市广济医院)(民营)	
东莞裕元医院(民营)	
东莞康怡医院(原:东莞市谷涌医院)(民营)	东莞康怡医院(原:东莞市谷涌医院)(民营)
东莞光明眼科医院(民营)	
东莞健力口腔医院(民营)	
东莞市宏远医院	
南方医科大学仁康医院(民营)	南方医科大学仁康医院(民营)
东莞北栅医院(民营)	
东莞市虎门北栅医院(民营)	
海军虎门医院	
东莞市虎门南栅医院(民营)	
东莞市南栅王少强医院(民营)	
东莞南国妇儿医院(民营)	
同济医学院附属东莞医院东莞光华医院	
东莞市东城人民医院	东莞市东城人民医院
东莞国境口岸医院	
东莞监狱医院	
东莞塘厦同仁妇科医院(民营)	
东莞市万江小享医院(民营)	
南方医科大学广济医院永盛分院(民营)	
东莞市长安乌沙医院(民营)	
东莞市长安镇街口医院(民营)	
东莞长安港湾医院(民营)	
东莞市长安医院厦岗分院(民营)	
东莞市第七人民医院东莞市精神卫生中心(原:东莞市新涌医院)	
东莞市常平医院	
东莞市凤岗(华侨)医院	东莞市凤岗(华侨)医院
东莞市高埗医院	东莞市高埗医院
东莞市莞城人民医院	
东莞市横沥人民医院	
广东省泗安医院	
东莞市虎门医院	
东莞市黄江医院	东莞市黄江医院
东莞市寮步医院	
东莞市企石医院	东莞市企石医院
东莞市桥头医院	东莞市桥头医院
东莞市石碣医院	
东莞市石排医院	东莞市石排医院
东莞三局医院(原:广东省水电水利第三工程局职工医院)	
东莞市塘厦医院	
东莞市樟木头人民医院	
东莞市石新医院(民营)	
东莞市长安医院(民营)	东莞市长安医院(民营)
东莞市中堂医院	
东莞市茶山医院	
东莞市大朗医院	东莞市大朗医院
东莞市清溪医院	东莞市清溪医院
东莞市第二人民医院〓广东医科大学附属松山湖医院	
东莞市妇幼保健院〓东莞市妇女儿童医院	东莞市妇幼保健院
广州中医药大学附属东莞中医院〓东莞市中医院	广州中医药大学附属东莞中医院东莞市中医院
中山大学附属东华医院(民营)	中山大学附属东华医院（东莞东华医院）
东莞康华医院(民营)	东莞康华医院(民营)
东莞市厚街医院	东莞市厚街医院
东莞市第五人民医院(原:东莞市太平人民医院)	
东莞市第八人民医院〓东莞市儿童医院(原:东莞市石龙博爱医院)	东莞市第八人民医院东莞市儿童医院
东莞市第三人民医院(原:东莞市石龙人民医院)	东莞市石龙人民医院
东莞市第一人民医院(原:东莞市人民医院)	东莞市人民医院
东莞市大岭山医院	
东莞市东坑医院	
东莞市虎门中医院	
东莞市篁村医院	
东莞市麻涌医院	
东莞市望牛墩医院	
广饶县妇女儿童医院	
广饶滨海医院	
广饶县第二人民医院广北分院	
东营市口腔病防治研究所	
胜利油田五七医院	
胜利动力机械厂职工医院	
东营市正骨医院(民营)	
山东大学齐鲁医院东营分院〓东营鸿港医院(民营)	东营鸿港医院(民营)
东青康复中心	
胜利油田钻井医院	
东营市市直机关医院	
东营市中西医结合医院	
东营市眼科医院	
东营骨科医院(民营)	
东营乐安医院(原:东营市交通医院)(民营)	
东营市渤海医院	
东营市口腔医院(民营)	
东营市仁济医院(民营)	
东营市肛肠医院(民营)	
东营真爱医院(民营)	
东营市妇幼保健院	
东营合德医院(原:东营康复医院)(民营)	
东营市东营区人民医院	东营市东营区人民医院
东营市中医院	
胜利油田妇幼保健院	
胜利油田胜利中医院	
胜利油田井下医院	
东营华东中医院(原:东营市东营区中医院)	
胜利油田胜采医院	
东营市人民医院山东省立医院(集团)东营医院	东营市人民医院
胜利油田中心医院	胜利油田中心医院
胜利油田胜利医院	胜利油田胜利医院
利津县中心医院	
利津县第二人民医院	
利津县中医院	
利津县妇幼保健院	
东营市垦利区妇幼保健站	
东营市垦利区中医院	
东营市垦利区人民医院	
东营市垦利区第三人民医院	
东营市垦利区人民医院胜坨分院〓东营市垦利区第二人民医院	
东营市皮肤病医院	
广饶县中医院	
广饶县人民医院	
东营市第二人民医院(原:广饶县第二人民医院)	
广饶县妇幼保健院	
广饶县中西医结合医院	
东营市河口区中医院	
东营市河口区黄河口医院(民营)	
胜利油田河口医院	
胜利油田管理局第三医院胜利油田管理局孤岛医院	
东营市河口区人民医院	河口县人民医院
胜利油田管理局滨海医院	
胜利油田肛肠病防治院	
东营市河口区妇幼保健院	
河口区中医院	
国营长头山机械化农场职医院	
中宁县鸣沙地区医院	
国营渠口农场职工医院	
中宁县关帝地区医院	
中宁县人民医院	中宁县人民医院
中宁县中医院	
中宁县妇幼保健所	
中宁县渠口农场医院	
中宁县长山头农场医院	
中卫市康复医院	
中卫市中医院	
中卫市妇幼保健院	中卫市妇幼保健院
中卫市人民医院	
中卫市第三人民医院(原:中卫市城郊医院)	
中卫市第二人民医院(原:兰州铁路局银川铁路分局迎水桥铁路医院)	
中卫市第三人民医院	
海原县人民医院	海原县人民医院
海原县中医院	
海原县妇幼保健中心	
中山市陈亨村医院	
中山现代妇科医院(民营)	
中山源田手外科医院(民营)	
中山市郭门照骨科医院(民营)	
中山市古镇海洲医院(民营)	
中山市横门镇医院	
中山市大茅医院	
中山市南区医院	
中山市广济医院(民营)	中山市广济医院(民营)
中山市人民医院东区分院〓中山市东区医院	
中山市宝元制鞋厂职工医院(民营)	
中山市烟墩医院	
中山市环城医院	
中山爱思特美容医院(民营)	
中山东方泌尿专科医院(民营)	
中山市岐江医院	
中山华都肛肠医院(民营)	
中山南华医院(民营)	
中山协和耳鼻喉医院(民营)	
中山奥理德眼科医院(民营)	
中山市浪网医院	
中山和平中医院(民营)	
中山市坦背医院	
中山市板芙医院	中山市板芙医院
中山市东升医院	
中山市黄布医院	
中山市南朗医院	
中山市坦洲医院	
中山市大涌医院	
中山市港口医院	中山市港口医院
中山市古镇医院	
中山市黄圃人民医院	中山市黄圃人民医院
中山火炬开发区医院	
中山市第三人民医院(原:中山市埠湖医院)	
中山市三乡人民医院	中山市三乡人民医院
